collection_date,Count_IAV,Positive_IAV,Concentration_IAV,Concentration_sub_IAV,Normalized_IAV,Normalized_sub_IAV,Count_RSV,Positive_RSV,Concentration_RSV,Concentration_sub_RSV,Normalized_RSV,Normalized_sub_RSV
2022/5/16,2,2,4.108282262,4.108282262,-4.464123112,-4.464123112,2,1,3.761651312,3.230310658,-4.917874294,-5.342069303
2022/5/17,2,2,4.171620833,4.171620833,-4.345440611,-4.345440611,2,1,3.995170758,3.347070381,-4.478618008,-5.169932686
2022/5/18,2,0,,2.698970004,,-5.768834005,2,0,,2.698970004,,-5.768012463
2022/5/19,0,0,,,,,0,0,,,,
2022/5/20,0,0,,,,,0,0,,,,
2022/5/21,0,0,,,,,0,0,,,,
2022/5/22,0,0,,,,,0,0,,,,
2022/5/23,2,2,3.661765535,3.661765535,-5.166775783,-5.166775783,2,1,3.712721876,3.20584594,-5.237492251,-5.622581468
2022/5/24,2,2,3.744291752,3.744291752,-4.562945931,-4.562945931,2,0,,2.698970004,,-5.608848233
2022/5/25,2,2,4.361289727,4.361289727,-3.925204127,-3.925204127,2,0,,2.698970004,,-5.586947356
2022/5/26,0,0,,,,,0,0,,,,
2022/5/27,0,0,,,,,0,0,,,,
2022/5/28,0,0,,,,,0,0,,,,
2022/5/29,0,0,,,,,0,0,,,,
2022/5/30,0,0,,,,,0,0,,,,
2022/5/31,2,2,3.804987624,3.804987624,-4.658882285,-4.658882285,2,0,,2.698970004,,-5.764559071
2022/6/1,2,2,4.269970052,4.269970052,-4.543129277,-4.543129277,2,0,,2.698970004,,-6.114249746
2022/6/2,2,1,4.184662034,3.441816019,-4.340382773,-5.037990836,2,0,,2.698970004,,-5.780366682
2022/6/3,0,0,,,,,0,0,,,,
2022/6/4,0,0,,,,,0,0,,,,
2022/6/5,0,0,,,,,0,0,,,,
2022/6/6,2,1,4.064973324,3.381971664,-4.569503946,-5.247923196,2,0,,2.698970004,,-5.931122046
2022/6/7,2,1,3.593621002,3.146295503,-5.136353283,-5.575856519,2,0,,2.698970004,,-6.02289325
