collection_date,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south,,,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco
2022/2/8,3971.309,896.4213,6933.412,7057.846,10305,,1,1,1,1,1,0,1,1,1,1,1,0,,,3971.309,896.4213,6933.412,7057.846,10305,
2022/2/9,10447.75,1935.955,4211.129,10498.41,3716.423,,1,1,1,1,1,0,1,1,1,1,1,0,,,10447.75,1935.955,4211.129,10498.41,3716.423,
2022/2/10,3570.081,3738.932,8413.748,5421.633,3723.217,,1,1,1,1,1,0,1,1,1,1,1,0,,,3570.081,3738.932,8413.748,5421.633,3723.217,
2022/2/11,7595.45,3045.288,500,4456.178,12642.05,,1,1,1,1,1,0,1,1,0,1,1,0,,,7595.45,3045.288,500,4456.178,12642.05,
2022/2/12,1780.209,500,3094.107,2628.809,3027.002,,1,1,1,1,1,0,1,0,1,1,1,0,,,1780.209,500,3094.107,2628.809,3027.002,
2022/2/13,2109.238,987.8981,500,4911.599,3683.659,,1,1,1,1,1,0,1,1,0,1,1,0,,,2109.238,987.8981,500,4911.599,3683.659,
2022/2/14,1927.857,1867.901,2753.203,7333.455,4957.745,,1,1,1,1,1,0,1,1,1,1,1,0,,,1927.857,1867.901,2753.203,7333.455,4957.745,
2022/2/15,5205.046,6044.562,7111.111,7818.182,25680.9,,1,1,1,1,1,0,1,1,1,1,1,0,,,5205.046,6044.562,7111.111,7818.182,25680.9,
2022/2/16,21661.54,,4684.395,6082.442,8492.308,,1,0,1,1,1,0,1,0,1,1,1,0,,,21661.54,,4684.395,6082.442,8492.308,
2022/2/17,4327.557,2306.101,3864.514,13556.74,14258.46,,1,1,1,1,1,0,1,1,1,1,1,0,,,4327.557,2306.101,3864.514,13556.74,14258.46,
2022/2/18,11517.02,1549.848,3031.596,13155.92,9975.458,,1,1,1,1,1,0,1,1,1,1,1,0,,,11517.02,1549.848,3031.596,13155.92,9975.458,
2022/2/19,6308.178,7415.131,1947.415,1787.592,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,6308.178,7415.131,1947.415,1787.592,500,
2022/2/20,15683.08,17834.55,5425.597,4680.782,992.448,,1,1,1,1,1,0,1,1,1,1,1,0,,,15683.08,17834.55,5425.597,4680.782,992.448,
2022/2/21,7850.849,500,1361.07,2089.462,8647.56,,1,1,1,1,1,0,1,0,1,1,1,0,,,7850.849,500,1361.07,2089.462,8647.56,
2022/2/22,1408.383,500,3537.828,6430.25,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,1408.383,500,3537.828,6430.25,500,
2022/2/23,9516.36,970.5914,1922.589,11543.53,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,9516.36,970.5914,1922.589,11543.53,500,
2022/2/24,5104.481,923.7886,,3738.094,2474.011,,1,1,0,1,1,0,1,1,0,1,1,0,,,5104.481,923.7886,,3738.094,2474.011,
2022/2/25,1165.309,975.9964,4427.261,2460.434,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,1165.309,975.9964,4427.261,2460.434,500,
2022/2/26,814.7411,1333.854,10803.93,6031.979,927.6196,,1,1,1,1,1,0,1,1,1,1,1,0,,,814.7411,1333.854,10803.93,6031.979,927.6196,
2022/2/27,1756.616,2649.259,11847.24,2425.603,4881.416,,1,1,1,1,1,0,1,1,1,1,1,0,,,1756.616,2649.259,11847.24,2425.603,4881.416,
2022/2/28,9340.751,,23333.38,4244.662,3805.104,,1,0,1,1,1,0,1,0,1,1,1,0,,,9340.751,,23333.38,4244.662,3805.104,
2022/3/1,7916.978,1877.241,36148.67,4291.264,5318.858,,1,1,1,1,1,0,1,1,1,1,1,0,,,7916.978,1877.241,36148.67,4291.264,5318.858,
2022/3/2,3600.547,3187.541,28791.33,1765.78,11252.98,,1,1,1,1,1,0,1,1,1,1,1,0,,,3600.547,3187.541,28791.33,1765.78,11252.98,
2022/3/3,2709.278,2608.483,11032.31,5543,4026.643,,1,1,1,1,1,0,1,1,1,1,1,0,,,2709.278,2608.483,11032.31,5543,4026.643,
2022/3/4,2557.946,3001.036,12419.52,2725.577,9135.705,,1,1,1,1,1,0,1,1,1,1,1,0,,,2557.946,3001.036,12419.52,2725.577,9135.705,
2022/3/5,1346.044,2846.748,6480.287,10053.1,2748.782,,1,1,1,1,1,0,1,1,1,1,1,0,,,1346.044,2846.748,6480.287,10053.1,2748.782,
2022/3/6,2058.806,2269.091,3923.55,3363.314,2787.348,,1,1,1,1,1,0,1,1,1,1,1,0,,,2058.806,2269.091,3923.55,3363.314,2787.348,
2022/3/7,4775.615,6201.885,14624.27,3623.317,7083.979,,1,1,1,1,1,0,1,1,1,1,1,0,,,4775.615,6201.885,14624.27,3623.317,7083.979,
2022/3/8,1232.366,1862.475,12278.3,15891.4,7508.778,,1,1,1,1,1,0,1,1,1,1,1,0,,,1232.366,1862.475,12278.3,15891.4,7508.778,
2022/3/9,5977.93,1786.067,29525.23,6948.319,4180.269,,1,1,1,1,1,0,1,1,1,1,1,0,,,5977.93,1786.067,29525.23,6948.319,4180.269,
2022/3/10,5307.418,500,5866.384,3797.138,2116.345,,1,1,1,1,1,0,1,0,1,1,1,0,,,5307.418,500,5866.384,3797.138,2116.345,
2022/3/11,2428.547,2163.779,3771.635,3978.201,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,2428.547,2163.779,3771.635,3978.201,500,
2022/3/12,8422.26,801.0324,3188.348,2439.204,2644.597,,1,1,1,1,1,0,1,1,1,1,1,0,,,8422.26,801.0324,3188.348,2439.204,2644.597,
2022/3/13,7049.799,2535.684,1618.817,25058.24,5590.817,,1,1,1,1,1,0,1,1,1,1,1,0,,,7049.799,2535.684,1618.817,25058.24,5590.817,
2022/3/14,7420.655,1868.493,22254.29,2597.64,2861.54,,1,1,1,1,1,0,1,1,1,1,1,0,,,7420.655,1868.493,22254.29,2597.64,2861.54,
2022/3/15,4209.244,1701.735,2312.664,2545.337,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,4209.244,1701.735,2312.664,2545.337,500,
2022/3/16,6481.884,1674.73,4536.971,4057.935,2574.806,,1,1,1,1,1,0,1,1,1,1,1,0,,,6481.884,1674.73,4536.971,4057.935,2574.806,
2022/3/17,4230.5,500,2852.468,2088.164,3454.15,,1,1,1,1,1,0,1,0,1,1,1,0,,,4230.5,500,2852.468,2088.164,3454.15,
2022/3/18,4154.453,6626.648,8151.626,6398.298,4161.901,,1,1,1,1,1,0,1,1,1,1,1,0,,,4154.453,6626.648,8151.626,6398.298,4161.901,
2022/3/19,2903.846,10861.24,5140.133,3747.919,2788.818,,1,1,1,1,1,0,1,1,1,1,1,0,,,2903.846,10861.24,5140.133,3747.919,2788.818,
2022/3/20,10374.28,500,2478.735,3376.842,7167.715,,1,1,1,1,1,0,1,0,1,1,1,0,,,10374.28,500,2478.735,3376.842,7167.715,
2022/3/21,1350.454,500,1206.98,2820.244,500,,1,1,1,1,1,0,1,0,1,1,0,0,,,1350.454,500,1206.98,2820.244,500,
2022/3/22,3372.133,1281.132,5904.558,2262.226,2158.28,,1,1,1,1,1,0,1,1,1,1,1,0,,,3372.133,1281.132,5904.558,2262.226,2158.28,
2022/3/23,3292.987,1726.931,26620.21,1652.715,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,3292.987,1726.931,26620.21,1652.715,500,
2022/3/24,10250.47,1284.891,6407.218,500,500,,1,1,1,1,1,0,1,1,1,0,0,0,,,10250.47,1284.891,6407.218,500,500,
