"","low_7","med_7","upr_7"
"1",3.13384405100594,3.24393138636814,3.35089483820041
"2",3.2708982379894,3.35683454144741,3.44013771900014
"3",3.39699428478014,3.46938734294663,3.54041618126119
"4",3.515996583605,3.58175111171217,3.6467148735476
"5",3.62905055765412,3.69246735405713,3.75547286514824
"6",3.73735956415806,3.80015755320835,3.86255137148667
"7",3.84020514890115,3.90334607527708,3.96675207142185
"8",3.94097382784789,4.00445794357433,4.06683726410793
"9",4.03844287111019,4.103215473365,4.1665585661203
"10",4.13568193963796,4.20076136825985,4.26540743857831
"11",4.23415432009817,4.30071739024452,4.36459247590436
"12",4.34229828526201,4.40738358907653,4.47021622419947
"13",4.4523123535777,4.51552815785448,4.57881189717158
"14",4.55965598412361,4.62254037606278,4.68474884322815
"15",4.66384300110587,4.72536163687185,4.78711864838233
"16",4.76149516322106,4.82294563158459,4.88495898282653
"17",4.85253611012299,4.91422132673335,4.97650446295432
"18",4.93657925400097,4.99783514526816,5.05988106084153
"19",5.01183575843681,5.07382368843814,5.13622327781311
"20",5.07870054737278,5.14117181617264,5.20305748339369
"21",5.13722767297156,5.19934626417195,5.2606819498501
"22",5.18702401808685,5.24820582324734,5.31060501945205
"23",5.22642469635369,5.28775066980031,5.34949116176432
"24",5.25583577915934,5.31761294153952,5.37806441723515
"25",5.27601617283112,5.33761295132048,5.39763312571833
"26",5.28662756078707,5.34758928925249,5.40786833203279
"27",5.28769875851909,5.34806846844623,5.40851327117178
"28",5.27859466450754,5.33993002129274,5.40118777799057
"29",5.26208668336967,5.32292194446806,5.38497774052482
"30",5.23646083610511,5.29877039925578,5.3608516907844
"31",5.20623984747448,5.26759237280385,5.3298104641717
"32",5.16862977521946,5.23066366548898,5.29152651000599
"33",5.12589392483334,5.18801926232272,5.24917311215742
"34",5.0782399086791,5.14008555921452,5.20327173690377
"35",5.02627071636538,5.08889258617125,5.15292520546183
"36",4.97171973094693,5.03476233726545,5.09809794313845
"37",4.91460016953502,4.97730089369742,5.03918841172698
"38",4.85460165634957,4.91774390415499,4.97922804800462
"39",4.79360864525235,4.85638119942896,4.91827294502212
"40",4.73062423399779,4.79401536892274,4.85654858560442
"41",4.66715318688932,4.73028485401283,4.79284812947265
"42",4.60267687083006,4.66563757233059,4.72780072807701
"43",4.53670394413287,4.60034937190966,4.66232322642964
