"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"140","2022/5/20",6,3,3.589626752,3.144298378,3.24015081425121,3.30195940144405,3.3592994985212
"141","2022/5/21",6,2,3.206836226,2.868258745,3.24492220060011,3.30636636467135,3.36324605418332
"142","2022/5/22",6,3,3.238551029,2.968760516,3.25128944965649,3.31148884722425,3.36832732836071
"143","2022/5/23",6,3,3.163202283,2.931086144,3.25808102510737,3.31769049517194,3.37443688864911
"144","2022/5/24",6,2,3.361621952,2.919853987,3.26581352821302,3.32485225171896,3.38074893761484
"145","2022/5/25",6,4,3.779923527,3.419605686,3.27438920965217,3.33234222090898,3.38896544074567
"146","2022/5/26",6,3,3.453682389,3.076326197,3.28271758821522,3.34024959019986,3.39578524973507
"147","2022/5/27",6,2,3.356992621,2.918310877,3.29174890766453,3.34839249643619,3.4040607818382
"148","2022/5/28",6,3,3.351272393,3.025121199,3.30168169817263,3.35669637667471,3.41356335661155
"149","2022/5/29",6,3,3.439595885,3.069282944,3.31161221613004,3.36520376939024,3.42188435213026
"150","2022/5/30",5,5,3.469750331,3.469750331,3.32134160149575,3.37400742833835,3.42988485144121
"151","2022/5/31",6,3,3.414152712,3.056561358,3.32931086905486,3.38197750756601,3.43846897523087
"152","2022/6/1",6,5,3.520779713,3.383811429,3.33721832839728,3.38945929608001,3.44632874104232
"153","2022/6/2",6,3,3.386912679,3.042941342,3.34284046299598,3.39605615316594,3.45283913868597
"154","2022/6/3",6,5,3.562901144,3.418912621,3.34751282489397,3.40153779095249,3.45912078832357
"155","2022/6/4",6,4,3.362991117,3.141650746,3.35294175893555,3.40602714829282,3.46298990812436
"156","2022/6/5",6,2,3.114755512,2.837565174,3.35650907469429,3.40935033231425,3.46536336776725
"157","2022/6/6",6,4,3.254711081,3.069464055,3.35992928258272,3.41138082819998,3.4689481496139
"158","2022/6/7",6,6,3.48172357,3.48172357,3.36010935318868,3.41295388078182,3.46910029081303
"159","2022/6/8",6,5,3.619456196,3.466041831,3.36068163579753,3.41290066510061,3.46786310035239
"160","2022/6/9",6,3,4.214906467,3.456938235,3.35915843061791,3.41205090869617,3.46576928596775
"161","2022/6/10",6,5,3.365710325,3.254586938,3.35748105021416,3.41065917787636,3.46249159105554
