"","date","count","positive","concentration","low","median","upr","low_observed","median_observed","upr_observed"
"51",2022-02-20,5,1,3.79835824800047,3.07521448515079,3.17886704889058,3.25995117220537,2.88265932779289,3.17678289323258,3.45976945852007
"52",2022-02-21,5,0,NA,3.0790243945413,3.18095032297211,3.2616602869325,2.89155311349662,3.17555482711979,3.46913428426658
"53",2022-02-22,5,1,3.54873668498824,3.0801879046262,3.18387415037023,3.26490392040742,2.90142671931617,3.18104233315584,3.47133304609855
"54",2022-02-23,5,3,3.6288008549601,3.08432464141003,3.18731632477804,3.26788576959846,2.89063776691903,3.18726039821472,3.48120539760381
"55",2022-02-24,4,2,3.39497766107879,3.08755068291563,3.19043609318429,3.27091502986851,2.90366883408694,3.1897460661677,3.47678998101013
"56",2022-02-25,5,2,3.19078909713114,3.09388648339076,3.19362150125512,3.27361359016997,2.90335460876738,3.19153248101468,3.48757363192449
"57",2022-02-26,5,0,NA,3.09714945245351,3.19767379025003,3.27582613483244,2.9046029863555,3.19727802052468,3.48755949239652
"58",2022-02-27,5,3,3.18064020886917,3.10206157096583,3.20133665314515,3.2806554409681,2.9021655118166,3.19740930372932,3.48802382028015
"59",2022-02-28,4,2,3.52977434001139,3.10626117926365,3.20502353233153,3.284625354011,2.91641337747203,3.20255370942305,3.48831765611512
"60",2022-03-01,5,3,3.34408225700297,3.11105381437267,3.20906860149572,3.28993221594734,2.91449634207969,3.2054030526137,3.49130677690646
"61",2022-03-02,5,2,3.23663695690369,3.11706250194092,3.21277571702933,3.29254330910927,2.91983038889985,3.20935326012293,3.49178662861964
"62",2022-03-03,5,1,2.95572610798025,3.12289982401886,3.21651815908005,3.2955428507749,2.93420329040656,3.21579885554873,3.49953471751115
"63",2022-03-04,5,2,3.34993519195363,3.12860525637429,3.22066364949787,3.29709939563354,2.93360531914388,3.21787025773219,3.50732643031136
"64",2022-03-05,5,2,3.14926231603111,3.13487922814204,3.22485284587228,3.30104431592604,2.94133810863136,3.22377034116517,3.50996067610697
"65",2022-03-06,5,0,NA,3.14012776477045,3.22938927775554,3.30433322601546,2.93110076147087,3.22871800021426,3.52295181524296
"66",2022-03-07,5,2,2.99242637902026,3.14610900955963,3.23400871954069,3.30775501351827,2.93312251814445,3.23582802789701,3.51493049807904
"67",2022-03-08,5,2,3.6350473180016,3.1508857989966,3.23953257305353,3.31260632450072,2.95445447282098,3.23571572521818,3.52495898969382
"68",2022-03-09,5,3,3.48177042304248,3.15782047627608,3.24491353638443,3.31708110911334,2.94648254671553,3.24233097324377,3.52377047688486
"69",2022-03-10,5,1,3.24774969904959,3.16627571350234,3.25116902927784,3.32142967505314,2.961694718184,3.25246390718678,3.53751242807538
"70",2022-03-11,5,4,2.99420522297928,3.17402353734141,3.25720705021438,3.32774043369792,2.96858411609857,3.25641101812547,3.54148813147924
"71",2022-03-12,5,2,3.07742533883954,3.18132604483943,3.263602950307,3.3336560739005,2.98201831989696,3.25867631691558,3.54865549942761
"72",2022-03-13,5,2,3.25097425595725,3.18937699706428,3.27078529677162,3.33971906591157,2.9893376836563,3.27213129722802,3.55362890800658
"73",2022-03-14,5,1,3.0721505210645,3.19844834385892,3.27864049744706,3.34585832005252,2.99886184074703,3.27656119563128,3.56892632470777
"74",2022-03-15,5,3,3.34634103705717,3.20874694509366,3.28618883393547,3.35256715100189,2.99603443398227,3.28095981251328,3.57527157187652
"75",2022-03-16,5,4,3.28031082608001,3.21775806166892,3.29447282725971,3.3599762809287,3.00284161745907,3.29087647659665,3.57597183787292
"76",2022-03-17,5,2,3.36086441905334,3.22765895424187,3.30290577409917,3.36904064581114,3.01417509469609,3.30151843710497,3.57930599288679
"77",2022-03-18,5,3,3.31493656307526,3.23681202829143,3.31163047449284,3.37773574851845,3.01662517574595,3.31037859696357,3.60218861668492
"78",2022-03-19,5,3,3.30297440199839,3.24858930453831,3.32050197254994,3.38543442294494,3.0331340262765,3.31920960081868,3.60120085568486
"79",2022-03-20,5,1,3.14829249606735,3.25896376497002,3.32948586699655,3.39384697709212,3.04360340108693,3.32136944753105,3.61299754418008
"80",2022-03-21,5,3,3.27094318605823,3.27083274199861,3.33892624174991,3.40364664004407,3.0590796968662,3.33956473190507,3.614322315439
"81",2022-03-22,5,2,3.29586634206832,3.28273831225427,3.34922150509419,3.41297266112134,3.06796367498824,3.34563102984004,3.64258184743228
"82",2022-03-23,5,4,3.32609323006872,3.29475494819971,3.3592948841634,3.42135376539073,3.08042412708591,3.36359175358376,3.64795729551327
"83",2022-03-24,5,3,3.1585454221305,3.30770852994117,3.36998281596148,3.43116549374935,3.09514632461012,3.36692841083674,3.65021743741492
"84",2022-03-25,5,2,3.49424658204511,3.31902152806228,3.38104342676792,3.44068847374361,3.09941706335078,3.37603071256667,3.66467933829386
"85",2022-03-26,5,4,3.18085516206941,3.33010982748288,3.39197373197021,3.45013643454296,3.10349896092177,3.38544836719064,3.67549695432971
"86",2022-03-27,5,4,3.24361543296187,3.34267388393478,3.40306589186519,3.46057371099618,3.12072411797959,3.40403287391699,3.68205141373987
"87",2022-03-28,5,3,3.40981018301899,3.3537583787773,3.4138671871831,3.47137805617202,3.13545738869851,3.40993422986693,3.69856638439706
