"","time","incidence_2","wastewater","measured_ww","logWW","ND","ND_2","low_3_a","med_3_a","upr_3_a","error"
"77",96,2.579498667,244.9010382,2.248484964,2.388990626,0,0,1.2287033406752,2.07654340216305,2.63757980578671,0.312447223836953
"78",97,2.223646234,211.1051638,3.2876224,2.324498857,0,0,0.823559221756887,1.83305186692885,2.51118990632587,0.491446990071148
"79",98,1.916894978,181.9752232,1.477735427,2.260012261,0,0,0.386587595807151,1.63027914721785,2.43870587965626,0.629733113782151
"80",99,1.652467229,156.8664809,1.888250299,2.195530154,0,1,1.3035875264404,2.18649530145592,2.74609228740861,0.00903485254407776
"81",100,1.652467229,135.223426,1.940870708,2.131051935,0,0,0.985119424012362,2.0140960730107,2.65135969032114,0.116955861989301
"82",101,1.652467229,120.7234579,2.265994038,2.081791667,0,0,0.664454815691107,1.86751568721079,2.5655523219985,0.21427597978921
"83",102,1.652467229,111.0105563,1.887102329,2.045364279,0,0,0.395206251315371,1.71906810287587,2.52386746380124,0.326296176124126
"84",103,1.652467229,104.5055862,2.903706764,2.019139506,0,0,0.114981430157388,1.5767681358095,2.45826754477081,0.442371370190502
"85",104,1.652467229,100.1501531,1.705112472,2.000651618,0,0,-0.0771227717786856,1.46555768096095,2.42072200752474,0.53509393703905
"86",105,1.652467229,97.23490632,1.814914203,1.9878222,0,0,-0.320426101114341,1.3372560991275,2.39112747594892,0.650566100872503
"87",106,1.652467229,95.28445042,1.694604776,1.979022033,0,0,-0.512945427761004,1.27720354807684,2.37583282000548,0.701818484923157
"88",107,1.652467229,93.98020128,2.273550569,1.973036371,0,0,-0.629508305477723,1.27503310540108,2.3768823163713,0.698003265598915
"89",108,1.652467229,93.10867683,2.277824734,1.968990155,0,0,-0.786450915708539,1.21751794202298,2.40598196058152,0.751472212977016
"90",109,1.652467229,92.52683706,2.540399848,1.966267716,0,0,-0.777633992725824,1.2229395498241,2.39825400940445,0.743328166175895
"91",110,1.652467229,92.13885207,2.21439828,1.964442797,0,0,-0.776736718384466,1.21990913213295,2.38816332746293,0.744533664867045
"92",111,1.652467229,91.88053048,2.785794645,1.963223494,0,0,-0.741283752006882,1.2525432464108,2.41679456734408,0.7106802475892
"93",112,1.652467229,91.70888256,2.620412964,1.962411402,0,0,-0.853124713864638,1.24491926038717,2.39577017993057,0.717492141612834
"94",113,1.652467229,91.59512499,2.55462531,1.96187236,0,0,-0.679950413338076,1.29969270173177,2.43922155190162,0.662179658268226
"95",114,1.652467229,91.51999264,1.570535077,1.961515977,0,0,-0.61826062097391,1.31232329105914,2.44336264270698,0.649192685940858
"96",115,1.652467229,91.4705966,2.18379798,1.961281512,0,0,-0.758184296671967,1.32404465804962,2.45106797117646,0.637236853950384
"97",116,1.652467229,91.43831861,2.567407367,1.961128232,0,0,-0.717872631231863,1.32602871079718,2.48526752104988,0.635099521202821
"98",117,1.652467229,91.41740014,1.157577252,1.961028866,0,0,-0.481524523506164,1.37207528077672,2.46923955164531,0.588953585223283
"99",118,0.66096104,91.403997,2.048241693,1.960965187,1,0,-0.636117708402913,1.33894414477789,2.44595867378059,0.622021042222105
"100",119,0.749055526,73.31770605,2.212220286,1.865208868,0,0,-0.63079263749697,1.36688450108917,2.46945062881351,0.49832436691083
"101",120,0.848898326,62.80076337,2.142750488,1.797964923,0,0,-0.608400570103839,1.34753711482477,2.45474220022459,0.450427808175235
"102",121,0.960277638,57.57184663,1.016558555,1.76021016,0,0,-0.671658199871671,1.3570474080453,2.4544757980845,0.403162751954699
"103",122,1.088681922,56.0978868,0.926627033,1.748946502,0,0,-0.543296410749841,1.35901127856522,2.47484436871616,0.389935223434777
"104",123,1.233625935,57.45131401,2.087443587,1.759299966,0,0,-0.516621185556938,1.39632901764452,2.46934339650194,0.362970948355478
"105",124,1.397824355,61.00151877,1.94116257,1.785340648,0,0,-0.529154159497582,1.40554999121626,2.48023235699514,0.379790656783742
"106",125,1.583883111,66.37529248,0.924404032,1.822006448,0,0,-0.573350281391895,1.37878271984146,2.45266511915863,0.44322372815854
