date,concentration_north_1,low_north_1,med_north_1,upr_north_1,concentrationnorth_2,low_north_2,med_north_2,upr_north_2
2022/2/25,NA,3.070577376,3.47846506,3.876050792,NA,3.094601115,3.46763197,3.910675311
2022/2/26,NA,3.076367301,3.478431112,3.870512919,NA,3.097989354,3.469612425,3.91121599
2022/2/27,NA,3.072820532,3.476548054,3.867999009,NA,3.097019895,3.470904601,3.909183447
2022/2/28,NA,3.073456402,3.477406851,3.867564041,NA,3.103558887,3.473963794,3.907320678
2022/3/1,NA,3.071376952,3.476826663,3.869956834,NA,3.10801713,3.474943844,3.906875093
2022/3/2,NA,3.07380128,3.476967201,3.869537073,NA,3.112330344,3.476089235,3.905219917
2022/3/3,NA,3.071684077,3.476605197,3.871856008,NA,3.111786664,3.478764201,3.907870791
2022/3/4,NA,3.075568133,3.478386267,3.874189189,NA,3.114587847,3.480236809,3.909470903
2022/3/5,NA,3.072540603,3.479058474,3.875924991,NA,3.115037341,3.480305163,3.905543509
2022/3/6,NA,3.073304168,3.480382126,3.875034608,NA,3.113899073,3.48259074,3.908502595
2022/3/7,NA,3.076967296,3.481037122,3.876718823,NA,3.115442963,3.484541888,3.912464957
2022/3/8,NA,3.077480789,3.480132808,3.878193166,NA,3.114062732,3.487627614,3.915814148
2022/3/9,NA,3.078103519,3.480860738,3.87863956,NA,3.116054884,3.488412839,3.920162657
2022/3/10,NA,3.078403634,3.482220688,3.876616464,NA,3.116996921,3.491560668,3.920722971
2022/3/11,NA,3.082737169,3.484880645,3.874819465,NA,3.117854074,3.495192159,3.924198329
2022/3/12,NA,3.080441767,3.487161697,3.874858948,NA,3.11641992,3.496362436,3.927552256
2022/3/13,NA,3.081728431,3.490314999,3.873200441,NA,3.117512162,3.499304271,3.929543461
2022/3/14,NA,3.083720249,3.493411869,3.870787284,NA,3.119988318,3.501836892,3.933354465
2022/3/15,NA,3.084487052,3.495226962,3.868739187,NA,3.124199595,3.50639327,3.938448238
2022/3/16,NA,3.087762519,3.496285061,3.869788365,NA,3.127159179,3.510973837,3.941755945
2022/3/17,NA,3.08906605,3.497885693,3.865590787,NA,3.131429376,3.513605184,3.947602914
2022/3/18,NA,3.094978697,3.500123483,3.868758882,NA,3.134065431,3.51750259,3.954242154
2022/3/19,NA,3.096815516,3.503900611,3.869960099,NA,3.136270191,3.522296615,3.960341908
2022/3/20,NA,3.09619727,3.506294911,3.871907965,NA,3.140859152,3.526309461,3.965606688
2022/3/21,NA,3.09768342,3.510286761,3.872270917,NA,3.145794816,3.532040728,3.970845121
2022/3/22,NA,3.100884458,3.511655483,3.870796947,NA,3.14979256,3.537266046,3.977346646
2022/3/23,NA,3.099804769,3.514889491,3.873910591,NA,3.157664351,3.543926911,3.982557363
2022/3/24,NA,3.099465787,3.519721198,3.875232815,NA,3.161440701,3.549537429,3.988674209
2022/3/25,NA,3.10150003,3.524175027,3.870869242,NA,3.164516258,3.55558512,3.993905773
2022/3/26,NA,3.107199085,3.530162982,3.875052266,NA,3.172302759,3.561888778,4.001485191
