"","ww","lower","median","upper"
"1",2,6.63942056321279e-12,5.82977171396278e-10,2.3071015531975e-08
"2",2.2,9.44630279525749e-12,7.81817626755273e-10,2.95107483256177e-08
"3",2.42,1.34234906826721e-11,1.04840112706706e-09,3.77051369974338e-08
"4",2.662,1.90690927791757e-11,1.40593350098012e-09,4.81729359795748e-08
"5",2.9282,2.71126398800965e-11,1.88507722683447e-09,6.15944536389832e-08
"6",3.22102,3.85244693894409e-11,2.52759916065983e-09,7.8753349242567e-08
"7",3.543122,5.47727899926272e-11,3.38906290309004e-09,1.00665705473809e-07
"8",3.8974342,7.78672357805912e-11,4.54563757755236e-09,1.28731133977104e-07
"9",4.28717762,1.10660007458696e-10,6.09543125846009e-09,1.64531150780294e-07
"10",4.715895382,1.5728699022432e-10,8.17303270323978e-09,2.10301468873362e-07
"11",5.1874849202,2.23649838962774e-10,1.09579691679667e-08,2.68904248690646e-07
"12",5.70623341222,3.17922338161165e-10,1.46928952000044e-08,3.43575475957593e-07
"13",6.27685675344201,4.51663354002247e-10,1.97038177367126e-08,4.39058803032716e-07
"14",6.90454242878621,6.4151833971435e-10,2.6419556817362e-08,5.61086467124035e-07
"15",7.59499667166483,9.11696010963076e-10,3.54266454470346e-08,7.1749778763689e-07
"16",8.35449633883131,1.29547209117629e-09,4.74989883649655e-08,9.17691645165505e-07
"17",9.18994597271444,1.83979990174535e-09,6.36835418878581e-08,1.17331994305928e-06
"18",10.1089405699859,2.61538666575376e-09,8.53761818413724e-08,1.49902468290258e-06
"19",11.1198346269845,3.71894032396563e-09,1.14462836074612e-07,1.91538662475729e-06
"20",12.2318180896829,5.28345071244804e-09,1.53477224361721e-07,2.44722636727941e-06
"21",13.4549998986512,7.50635702809954e-09,2.05768877327815e-07,3.12816686760299e-06
"22",14.8004998885163,1.06621441339615e-08,2.7592887414181e-07,3.99756624950858e-06
"23",16.280549877368,1.5148994911325e-08,3.69975571083996e-07,5.10673732416821e-06
"24",17.9086048651048,2.1524528457977e-08,4.96069949744159e-07,6.5328340285075e-06
"25",19.6994653516153,3.05947617418412e-08,6.65168443903438e-07,8.35276723938131e-06
"26",21.6694118867768,4.34885606670581e-08,8.91860744082805e-07,1.06763600729205e-05
"27",23.8363530754545,6.18161152015e-08,1.19570672037792e-06,1.36473355849949e-05
"28",26.2199883829999,8.78072091536449e-08,1.60329711814297e-06,1.74425370849077e-05
"29",28.8419872212999,1.2488167788559e-07,2.14953443869886e-06,2.22873233937105e-05
"30",31.7261859434299,1.77491951106971e-07,2.88201422040127e-06,2.84686264240233e-05
"31",34.8988045377729,2.52031477723692e-07,3.86445283652756e-06,3.6380237934622e-05
"32",38.3886849915502,3.5762595548911e-07,5.18206096824875e-06,4.64914287664481e-05
"33",42.2275534907052,5.08008408244635e-07,6.94895998217496e-06,5.94366941449163e-05
"34",46.4503088397757,7.2213193927037e-07,9.31891165310643e-06,7.60014682008756e-05
"35",51.0953397237533,1.02642092492094e-06,1.24944395386246e-05,9.70859159065372e-05
"36",56.2048736961287,1.45850181920584e-06,1.67589071273191e-05,0.000124149656199741
"37",61.8253610657415,2.07358549493418e-06,2.24715604237115e-05,0.000158735682891382
"38",68.0078971723157,2.94757972915777e-06,3.0138330303477e-05,0.000202980845143815
"39",74.8086868895473,4.1875622171148e-06,4.04195465233388e-05,0.000259516527109742
"40",82.289555578502,5.94920227127091e-06,5.42066239005769e-05,0.000331718694048191
"41",90.5185111363522,8.44938790049061e-06,7.27219524466184e-05,0.000424049822972791
"42",99.5703622499874,1.20061684040208e-05,9.74830034889331e-05,0.000542075170109043
"43",109.527398474986,1.70654684287857e-05,0.000130703476035923,0.000692588915623402
"44",120.480138322485,2.42453635866098e-05,0.0001752680381682,0.000885549473956356
"45",132.528152154733,3.44480950445162e-05,0.000235011005580341,0.00113164902268706
"46",145.780967370207,4.89663364812821e-05,0.000315166187608109,0.00144679966508407
"47",160.359064107227,6.95835527698178e-05,0.000422534611974987,0.00184929590392478
"48",176.39497051795,9.88358938227272e-05,0.000566453818521404,0.00236334246954847
"49",194.034467569745,0.000140336592281514,0.000759505631812417,0.00302117956246545
"50",213.43791432672,0.000199325016285158,0.00101828021539757,0.00386232588510598
"51",234.781705759392,0.000283142792576842,0.00136519800350799,0.00493538808339043
"52",258.259876335331,0.000402282646330641,0.00182995009186645,0.00630077907899514
"53",284.085863968864,0.000571322345059449,0.0024534963749578,0.00803983571629738
"54",312.49445036575,0.000810921013392752,0.0032863158298537,0.0102591040658369
"55",343.743895402325,0.00115134799362836,0.00440188482476741,0.0130843296981803
"56",378.118284942558,0.00163533968392042,0.0058935327322205,0.0166763970957847
"57",415.930113436814,0.00231892786537179,0.00788528521343627,0.0212376567320577
"58",457.523124780495,0.00328856356064079,0.0105459218441452,0.0270077692218584
"59",503.275437258545,0.00466348734965506,0.0140906442761291,0.0342833898815724
"60",553.602980984399,0.00660575533073725,0.0188046371841235,0.0434366638806968
"61",608.963279082839,0.0093484082504344,0.0250528432301028,0.0549347817722301
"62",669.859606991123,0.0132178553899174,0.0333051811594573,0.0692755647379151
"63",736.845567690235,0.0186502962045943,0.0441560354973244,0.0870485077317236
"64",810.530124459259,0.0262514964282242,0.0583356053402788,0.108749853222265
"65",891.583136905185,0.0368589573511415,0.0767069427431109,0.135126237686212
"66",980.741450595704,0.0514394052821654,0.10022267352153,0.166700531175546
"67",1078.81559565527,0.0714106873960666,0.129955148635126,0.204152341758525
"68",1186.6971552208,0.0982627658188958,0.166917851730818,0.24749093017942
"69",1305.36687074288,0.133651703817186,0.211738695920571,0.296841093122073
"70",1435.90355781717,0.179066447054391,0.264848933598521,0.351378016964466
"71",1579.49391359889,0.235599122865548,0.325728352981541,0.410600834177826
"72",1737.44330495878,0.303048672273111,0.393167677358056,0.473156460866863
"73",1911.18763545465,0.379492195291383,0.464807841186926,0.53713942753391
"74",2102.30639900012,0.46180998579514,0.537882687283547,0.600780450485596
"75",2312.53703890013,0.544930668084774,0.609444257254214,0.662446325821512
"76",2543.79074279015,0.623956933051901,0.676560661685791,0.720467539903329
"77",2798.16981706916,0.695015043763016,0.737030295439056,0.773981627230657
"78",3077.98679877608,0.755175986679467,0.789805387685995,0.821608432686338
"79",3385.78547865368,0.804536347709783,0.834359626612799,0.862447057418317
"80",3724.36402651905,0.844255437375249,0.871110400342364,0.896155145708009
"81",4096.80042917096,0.87619598737352,0.900618722546348,0.922958504357893
"82",4506.48047208805,0.901728967871304,0.923980325184524,0.943618134780737
"83",4957.12851929686,0.922189138871213,0.942203959251305,0.959198818317189
"84",5452.84137122655,0.938538611195806,0.956258239722124,0.970657618751547
"85",5998.1255083492,0.951526172924145,0.967029414218201,0.979017125656222
"86",6597.93805918412,0.961874493951418,0.975204808031174,0.985061872943606
"87",7257.73186510254,0.970052220253939,0.981391610019593,0.989409163852095
"88",7983.50505161279,0.976490723092806,0.986056680232962,0.992500013104444
"89",8781.85555677407,0.981565164757255,0.989568761378609,0.994696656929731
"90",9660.04111245148,0.985565525823618,0.992199000854899,0.996251380242295
"91",10626.0452236966,0.988684139081462,0.994172948587173,0.997352612373783
"92",11688.6497460663,0.991148086926246,0.995648425791876,0.998131214302983
"93",12857.5147206729,0.993073289553847,0.996750868842687,0.998682048527035
"94",14143.2661927402,0.994578306429855,0.997574790577017,0.999071621781868
"95",15557.5928120142,0.995757209377779,0.998190662125201,0.999346076985127
"96",17113.3520932157,0.996677463561011,0.998650063399406,0.999539053251322
"97",18824.6873025372,0.997400346371775,0.998992955350838,0.999675557387728
"98",20707.156032791,0.997965885801405,0.999248797010788,0.999771444263051
"99",22777.87163607,0.998409870986935,0.999439669083055,0.999839118663102
"100",25055.6587996771,0.998757192199706,0.999582105678198,0.999886820004664
"101",27561.2246796448,0.999028000192243,0.999688230899102,0.999920268880029
"102",30317.3471476092,0.999239971880365,0.99976742973889,0.999943847645001
"103",33349.0818623702,0.999405452078987,0.999826519719973,0.999960493365685
"104",36683.9900486072,0.999535198606208,0.999870631046902,0.99997218127389
"105",40352.3890534679,0.999636586239885,0.999903525191261,0.999980421936738
"106",44387.6279588147,0.999715944563678,0.99992804776,0.999986213256292
"107",48826.3907546962,0.99977799019881,0.999946342252668,0.99999028939463
"108",53709.0298301658,0.999826340795207,0.999959980499993,0.999993165138882
"109",59079.9328131824,0.999864208342698,0.99997014430725,0.999995188050687
"110",64987.9260945006,0.999893801840396,0.999977734060937,0.999996614027071
"111",71486.7187039507,0.999916923522886,0.999983393424164,0.999997617839145
"112",78635.3905743458,0.999935030337353,0.999987613640011,0.999998324439193
"113",86498.9296317804,0.999949196983259,0.999990764654785,0.999998820298831
"114",95148.8225949584,0.999960284279282,0.99999311335136,0.999999169562181
"115",104663.704854454,0.999968931796816,0.999994863589246,0.999999415644101
"116",115130.0753399,0.999975694362056,0.999996169400584,0.999999588525279
"117",126643.08287389,0.999980992262132,0.999997143647,0.99999971039886
"118",139307.391161279,0.999985143479102,0.999997869699462,0.99999979618079
"119",153238.130277407,0.999988380240498,0.999998411683262,0.999999856432245
"120",168561.943305147,0.999990909706008,0.99999881528487,0.999999898882027
"121",185418.137635662,0.999992888498432,0.999999116611548,0.999999928834683
"122",203959.951399228,0.999994438735146,0.99999934124285,0.999999949904287
"123",224355.946539151,0.999995651703407,0.999999508868867,0.999999964769345
"124",246791.541193066,0.999996596632488,0.999999633716345,0.999999975209583
"125",271470.695312373,0.999997337463139,0.999999726860665,0.999999982560903
"126",298617.76484361,0.999997918115142,0.999999796238274,0.999999987720752
"127",328479.541327971,0.999998371650499,0.999999848057519,0.999999991359983
"128",361327.495460768,0.99999872680808,0.999999886680671,0.999999993917493
