"","ww","lower","median","upper"
"1",2,8.7509174650516e-14,7.03942918066666e-10,4.12588530940531e-07
"2",2.2,1.23281482566821e-13,8.98440757536325e-10,4.90338315823537e-07
"3",2.42,1.7395276757747e-13,1.14626573001585e-09,5.82339579092179e-07
"4",2.662,2.46060238436205e-13,1.46300462483796e-09,6.91347347265653e-07
"5",2.9282,3.46075106472088e-13,1.86766683792383e-09,8.20689681936765e-07
"6",3.22102,4.88862067597952e-13,2.3843135465754e-09,9.75699838498058e-07
"7",3.543122,6.89278473737911e-13,3.04240486774363e-09,1.15803538388254e-06
"8",3.8974342,9.75292161766862e-13,3.88040671144681e-09,1.37774905078715e-06
"9",4.28717762,1.37619441378982e-12,4.94835276059627e-09,1.63809439156139e-06
"10",4.715895382,1.94500507814725e-12,6.31413857889123e-09,1.94333388331872e-06
"11",5.1874849202,2.74301368041733e-12,8.05820569221399e-09,2.31250539879144e-06
"12",5.70623341222,3.87737685136858e-12,1.02827254839409e-08,2.74862107719164e-06
"13",6.27685675344201,5.4611116280889e-12,1.31169501040789e-08,3.26008020681676e-06
"14",6.90454242878621,7.69235813793145e-12,1.67409111103337e-08,3.86892100843279e-06
"15",7.59499667166483,1.08479750683617e-11,2.13614344718988e-08,4.59964829200265e-06
"16",8.35449633883131,1.53026142329762e-11,2.72475636099304e-08,5.46661783322449e-06
"17",9.18994597271444,2.1552284020197e-11,3.47502248604487e-08,6.4986658503673e-06
"18",10.1089405699859,3.03821543698257e-11,4.43368935658335e-08,7.72215463680277e-06
"19",11.1198346269845,4.28050336373442e-11,5.65944519918726e-08,9.18313484970383e-06
"20",12.2318180896829,6.05876408283941e-11,7.21910323937526e-08,1.09044179049916e-05
"21",13.4549998986512,8.53270406480578e-11,9.20867690651861e-08,1.2956404058117e-05
"22",14.8004998885163,1.20191053976722e-10,1.17480990139008e-07,1.53858538188398e-05
"23",16.280549877368,1.69517454723475e-10,1.49898573570239e-07,1.82706667246304e-05
"24",17.9086048651048,2.38822461653671e-10,1.9125334801649e-07,2.17101788299396e-05
"25",19.6994653516153,3.36944910132388e-10,2.43975345155996e-07,2.57704963259351e-05
"26",21.6694118867768,4.73813892087691e-10,3.11289397130973e-07,3.06179441947102e-05
"27",23.8363530754545,6.69291558406032e-10,3.9737259168579e-07,3.6380239546841e-05
"28",26.2199883829999,9.42815196386175e-10,5.06784060980965e-07,4.31451960265514e-05
"29",28.8419872212999,1.32708725060222e-09,6.46672123995039e-07,5.12470089699491e-05
"30",31.7261859434299,1.87200858622136e-09,8.25154265344293e-07,6.09667491244347e-05
"31",34.8988045377729,2.6425988119742e-09,1.05215482290804e-06,7.24602639634166e-05
"32",38.3886849915502,3.73269769266294e-09,1.34301988794356e-06,8.61144702170042e-05
"33",42.2275534907052,5.26228466713587e-09,1.71388839031821e-06,0.000102441306998954
"34",46.4503088397757,7.40795032292459e-09,2.18574686179623e-06,0.000121836359082925
"35",51.0953397237533,1.04203996545829e-08,2.78958302181655e-06,0.000144745256126257
"36",56.2048736961287,1.46680445229803e-08,3.56190224428524e-06,0.000171985767245843
"37",61.8253610657415,2.06507752203183e-08,4.54561065608306e-06,0.000204306693603636
"38",68.0078971723157,2.90626679608065e-08,5.79544673499664e-06,0.000242571442537458
"39",74.8086868895473,4.10527747794511e-08,7.396131130184e-06,0.000288327674967012
"40",82.289555578502,5.78218197431288e-08,9.43920838740472e-06,0.00034316223638363
"41",90.5185111363522,8.14445463027655e-08,1.20430357493426e-05,0.000407908700838359
"42",99.5703622499874,1.14835339336873e-07,1.53661610032367e-05,0.00048464097024107
"43",109.527398474986,1.61818550036313e-07,1.95996494736357e-05,0.000576201215577175
"44",120.480138322485,2.27596468799053e-07,2.50006636502196e-05,0.00068499173216879
