,ww,lower,median,upper,
113,86498.92963,0.978056638,0.996888853,0.999822707,
114,95148.82259,0.98065961,0.997474952,0.999872527,
115,104663.7049,0.98296075,0.997950118,0.99990847,
116,115130.0753,0.984975044,0.998338177,0.999934111,
117,126643.0829,0.986746144,0.998651025,0.999952689,
118,139307.3912,0.98831171,0.998905828,0.999966027,
119,153238.1303,0.989703316,0.999113228,0.999975581,
120,168561.9433,0.990917537,0.999281293,0.999982434,
121,185418.1376,0.992007999,0.999417002,0.999987397,
122,203959.9514,0.992960811,0.999526906,0.999990933,
123,224355.9465,0.993796457,0.999616296,0.999993484,
124,246791.5412,0.994534486,0.999688706,0.999995325,
125,271470.6953,0.995178802,0.999747447,0.999996646,
126,298617.7648,0.995751096,0.99979516,0.999997592,
127,328479.5413,0.99625492,0.999833771,0.999998274,
128,361327.4955,0.996695396,0.999865203,0.99999876,
129,397460.245,0.99708705,0.999890671,0.999999109,
130,437206.2695,0.997429429,0.999911305,0.999999361,
131,480926.8965,0.997734578,0.999928113,0.999999541,
132,529019.5861,0.998002251,0.999941664,0.999999671,
133,581921.5447,0.998239841,0.999952723,0.999999764,
134,640113.6992,0.998447042,0.999961642,0.99999983,
135,704125.0691,0.998630598,0.999968886,0.999999878,
136,774537.576,0.9987937,0.999974764,0.999999913,
137,851991.3336,0.998935228,0.999979539,0.999999937,
138,937190.467,0.999061194,0.999983404,0.999999955,
139,1030909.514,0.999172043,0.999986535,0.999999968,
140,1134000.465,0.999270358,0.999989077,0.999999977,
