,ww,lower,median,upper,
113,86498.92963,0.981400763,0.996772806,0.999735068,
114,95148.82259,0.983929188,0.997407911,0.999806595,
115,104663.7049,0.986107079,0.997918539,0.999859489,
116,115130.0753,0.988000957,0.998329021,0.999897872,
117,126643.0829,0.989628265,0.998658971,0.999925675,
118,139307.3912,0.991035871,0.998921882,0.999945906,
119,153238.1303,0.992245169,0.999134104,0.99996067,
120,168561.9433,0.993304333,0.999304478,0.999971399,
121,185418.1376,0.994209908,0.999441375,0.999979236,
122,203959.9514,0.994989371,0.999550889,0.999984929,
123,224355.9465,0.995666229,0.999638969,0.999989055,
124,246791.5412,0.99625405,0.999710238,0.999992055,
125,271470.6953,0.996761062,0.999767284,0.999994242,
126,298617.7648,0.997198511,0.999812993,0.99999582,
127,328479.5413,0.997576808,0.999849784,0.999996956,
128,361327.4955,0.997904204,0.999879245,0.999997793,
129,397460.245,0.998186363,0.999903,0.999998398,
130,437206.2695,0.998431543,0.999922034,0.999998838,
131,480926.8965,0.998642813,0.99993739,0.999999158,
132,529019.5861,0.998827093,0.999949722,0.99999939,
133,581921.5447,0.998986232,0.999959611,0.999999558,
134,640113.6992,0.999121958,0.999967543,0.999999679,
135,704125.0691,0.999239548,0.999973924,0.999999767,
136,774537.576,0.999341438,0.999979035,0.999999831,
137,851991.3336,0.999430286,0.99998315,0.999999878,
138,937190.467,0.999507459,0.999986471,0.999999911,
139,1030909.514,0.999573475,0.999989131,0.999999935,
140,1134000.465,0.999630932,0.999991258,0.999999953,
