,ww,lower,median,upper,
114,95148.82259,0.999963249,0.999993442,0.999999182,
115,104663.7049,0.999971441,0.999995147,0.999999431,
116,115130.0753,0.99997781,0.999996408,0.999999603,
117,126643.0829,0.999982758,0.999997342,0.999999723,
118,139307.3912,0.999986605,0.999998033,0.999999807,
119,153238.1303,0.999989594,0.999998544,0.999999865,
120,168561.9433,0.999991908,0.999998923,0.999999906,
121,185418.1376,0.999993709,0.999999203,0.999999935,
122,203959.9514,0.99999511,0.99999941,0.999999954,
123,224355.9465,0.999996199,0.999999563,0.999999968,
124,246791.5412,0.999997045,0.999999677,0.999999978,
125,271470.6953,0.999997702,0.999999761,0.999999985,
126,298617.7648,0.999998214,0.999999823,0.999999989,
127,328479.5413,0.999998611,0.999999869,0.999999992,
128,361327.4955,0.99999892,0.999999903,0.999999995,
129,397460.245,0.999999161,0.999999928,0.999999996,
130,437206.2695,0.999999347,0.999999947,0.999999997,
131,480926.8965,0.999999492,0.999999961,0.999999998,
132,529019.5861,0.999999606,0.999999971,0.999999999,
133,581921.5447,0.999999693,0.999999978,0.999999999,
134,640113.6992,0.999999762,0.999999984,0.999999999,
135,704125.0691,0.999999815,0.999999988,1,
136,774537.576,0.999999856,0.999999991,1,
137,851991.3336,0.999999888,0.999999994,1,
138,937190.467,0.999999913,0.999999995,1,
139,1030909.514,0.999999932,0.999999996,1,
140,1134000.465,0.999999947,0.999999997,1,
